Bereishit,Joshua,Psalms 1-8,Matthew 1-4,Romans 1-3,Jos.1.1#Psa.1.1#Mat.1.1#Rom.1.1,Jos_1_1#Psa_1_1#Mat_1_1#Rom_1_1
Noach,Judges 1-5,Psalms 9-17,Matthew 5-7,Romans 4-6,Jdg.1.1#Psa.9.1#Mat.5.1#Rom.4.1,Jdg_1_1#Psa_9_1#Mat_5_1#Rom_4_1
Lech-Lecha,Judges 6-12,Psalms 18-25,Matthew 8-10,Romans 7-9,Jdg.6.1#Psa.18.1#Mat.8.1#Rom.7.1,Jdg_6_1#Psa_18_1#Mat_8_1#Rom_7_1
Vayera,Judges 13-21,Psalms 26-32,Matthew 11-13,Romans 10-12,Jdg.13.1#Psa.26.1#Mat.11.1#Rom.10.1,Jdg_13_1#Psa_26_1#Mat_11_1#Rom_10_1
Chayei Sarah,Ruth,Psalms 33-39,Matthew 14-16,Romans 13-16,Rut.1.1#Psa.33.1#Mat.14.1#Rom.13.1,Rut_1_1#Psa_33_1#Mat_14_1#Rom_13_1
Toldot,1 Samuel 1-7,Psalms 40-46,Matthew 17-19,1 Corinthians 1-3,1Sa.1.1#Psa.40.1#Mat.17.1#1Co.1.1,1Sa_1_1#Psa_40_1#Mat_17_1#1Co_1_1
Vayetze,1 Samuel 8-14,Psalms 47-54,Matthew 20-22,1 Corinthians 4-6,1Sa.8.1#Psa.47.1#Mat.20.1#1Co.4.1,1Sa_8_1#Psa_47_1#Mat_20_1#1Co_4_1
Vayishlach,1 Samuel 15-21,Psalms 55-61,Matthew 23-25,1 Corinthians 7-9,1Sa.15.1#Psa.55.1#Mat.23.1#1Co.7.1,1Sa_15_1#Psa_55_1#Mat_23_1#1Co_7_1
Vayeshev,1 Samuel 22-28,Psalms 62-68,Matthew 26-28,1 Corinthians 10-12,1Sa.22.1#Psa.62.1#Mat.26.1#1Co.10.1,1Sa_22_1#Psa_62_1#Mat_26_1#1Co_10_1
Miketz,1 Samuel 29-31,Psalms 69-75,Mark 1-3,1 Corinthians 13-16,1Sa.29.1#Psa.69.1#Mrk.1.1#1Co.13.1,1Sa_29_1#Psa_69_1#Mar_1_1#1Co_13_1
Vayigash,2 Samuel 1-7,Psalms 76-82,Mark 4-6,2 Corinthians 1-3,2Sa.1.1#Psa.76.1#Mrk.4.1#2Co.1.1,2Sa_1_1#Psa_76_1#Mar_4_1#2Co_1_1
Vayechi,2 Samuel 8-14,Psalms 83-89,Mark 7-9,2 Corinthians 4-6,2Sa.8.1#Psa.83.1#Mrk.7.1#2Co.4.1,2Sa_8_1#Psa_83_1#Mar_7_1#2Co_4_1
